x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
falmo,Falmouth,,Maine,,placeName,,,43.4346,70.1431,,,
fanne,Fannettsburg,,Pennsylvania,,placeName,Phanetts-Burgh,,40.06508,77.82944,,,
farmi,Farmington,,New York,,placeName,Mud Creek,,42.98642,77.32595,,,
fathf,Father Flint,,,flint vein,geogName,,,,,,,
feder,Federal City,,D.C.,,placeName,Washington D.C.,,38.90719,77.036871,,,
ferri,Ferrisburg,,Vermont,,placeName,Ferrisburgh,,44.20561,73.246234,,,
fieso,Fiesole,,Italy,,placeName,,,,,,,
fight,Fighting Island,,Canada,,geogName,,,,,,,
fishe,Fisher's Tavern,,Virginia?,,placeName,,,,,,,
fishi,Fishing Creek,,Pennsylvania,,geogName,,,41.122362,77.482871,,,
Flemi,Flemington,,Pennsylvania,"There is also a Flemington, NJ",placeName,,,41.124811,77.469352,,,
flino,Flinn's Ordinary,,,,placeName,,,,,,,
flint,Flint Creek,,New York,,geogName,,,42.924252,77.111278,,,
flori,Florida,,New York,,placeName,,,41.331761,74.35682,,,
flush,Flushing,,Ohio,,placeName,,,,,,,
flush2,Flushing,,New York,,,,,,,,,
fords,Fords Tavern,Steuben County,New York,,,,,,,,,
famst,Fort Amsterdam,,New York,,placeName,Fort Hendrick,,,,,,
fann,Fort Ann,,New York,,placeName,,,43.41423,73.4876,,,
fatki,Fort Atkinson,,,,placeName,,,,,,,
fcham,Fort Chambly,,Canada,,placeName,Fort Chamblee,,45.449502,73.276881,,,
fcoff,Fort Coffee,,,,placeName,,,,,,,
fcrow,Fort Crown Point,,New York,,placeName,,,44.02872,73.429495,,,
fdefi,Fort Defiance,,,,placeName,,,,,,,
fduqu,Fort Duquesne,,Pennsylvania,old French fort,placeName,,,40.441603,80.010915,,,
fedwa,Fort Edward,,New York,,placeName,,,43.1335,73.3333,,,
ferie,Fort Erie,,Canada,,placeName,,,42.53357,78.552574,,,
ffran,Fort Franklin,,Pennsylvania,Likely,placeName,Formerly Fort Machault,,allace,79.82168,,,
fharm,Fort Harmar,,Ohio,,placeName,,,39.40934,81.457784,,,
fjeff,Fort Jefferson,,Ohio,,placeName,,,40.076052,84.648868,,,
flawr,Fort Lawrence,,Ohio,,placeName,,,,,,,
fleav,Fort Leavenworth,,,,placeName,,,,,,,
flebo,Fort LeBoeuf,,Pennsylvania,,placeName,La Boeuf,,41.93343,79970051,,,
flitt,Fort Littleton,,Pennsylvania,A defunct military and civilian settlement near Fort Juniata Crossing,placeName,,,40.00558,78.279347,,,
floram,Fort Loramier,,,,placeName,,,,,,,
fmint,Fort M'Intosh,,Pennsylvania,"Beaver, PA",placeName,Fort McIntosh,,40.69109,80.303463,,,
fmadi,Fort Madison,,Iowa,,placeName,,,,,,,
fmass,Fort Massoe,,,,placeName,,,,,,,
fmiam,Fort Miami,,Michigan,,placeName,,,,,,,
fniag,Fort Niagara,,Canada,,placeName,,,,,,,
fpitt1,Fort Pitt,,Pennsylvania,Built to replace Fort Duquesne in 1759,placeName,,,40.440569,80.009657,,,
fputn,Fort Putnam,,New York,at West Point,placeName,,,,,,,
fschy,Fort Schuyler,,New York,"A defunct military settlement in current-day Utica, NY.",placeName,"Fort Schuylar, Old Ft. Schuyler",,40.805302,73.791566,,,
fsmith,Fort Smith,,,,,,,,,,,
fstan,Fort Stanwix,,New York,"In Rome, NY -- Renamed Fort Schuyler after the Revolutionary War",placeName,,,43.210556 ,75.45525,,,
fwash1,Fort Washington,,,"There are Fort Washington's in MD, MA, NY, OH and PA.",placeName,,,,,,,
fwayn,Fort Wayne,,Indiana,,placeName,,,41.044962,85.082094,,,
fwell,Fort Wellington,,"Ontario, Canada",,placeName,,,,,,,
franc,France,,,,,,,,,,,
frankf,Frankford,,,,placeName,Frankfort,,,,,,
frank,Franklin,,Pennsylvania,"                            referring to Franklin, Pennsylvania, the home a now defunct fort which was named Fort Franklin in 1780s.",placeName,,,41.397836,79.831444,,,
frede1,Fredericksburg,,Virginia?,,,,,,,,,
frede2,Fredericktown,,Maryland,,,,,,,,,
frede,Fredericktown,,Pennsylvania,"A census-designated place in East Bethlehem Township,",placeName,Fredricks Town,,40.000246,79.997669,,,
french,French Creek,,Pennsylvania,"There are two creeks of this name in PA. The other one is below Pottstown, PA at (40.134151, -75.564415)",geogName,,,41.420654,79.881592,,,
frenb,Frenchman's Bay,,Maine,,geogName,,,44.421398,68.228359,,,
frenct,Frenchtown,,,on the banks of the Chesapeake Bay,placeName,,,,,,,
gadby,Gadby's Tavern,,Virginia,in Alexandria,,,,,,,,
gali,Galina,,,,,,,,,,,
galwa,Galway,,,,,,,,,,,
ganson,Gansons Tavern,Genesee County,New York,,,,,,,,,
genes4,Genesedaga,,Pennsylvania,,placeName,,,41.203322,77.194525,,,
genec,Genesee county,,New York,,placeName,,,43,78.19,,,
genes2,Genesee River,,"New York,  Pennsylvania","River stretches from Ulysses Township, PA to Lake Ontario",geogName,Genessee River,,43.23251,77.617807,,,
genes3,Genesee Road,,New York,,,Genessee Turnpike?,,42.551172,78.597907,,,
